,text_path,text,image_path
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
0,weber.txt,黃彥鈞,weber_2.jpg
0,weber.txt,黃彥鈞,weber_3.jpg
0,weber.txt,黃彥鈞,weber_4.jpg
0,weber.txt,黃彥鈞,weber_5.jpg
